row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
64,64,64,0,0,0.000000,0,128,1194,512
64,64,64,36,42,0.010000,4608,7112,51303,56240
64,64,64,173,220,0.050000,22144,33690,237129,268316
64,64,64,427,422,0.100000,54656,82966,595952,661508
64,64,64,837,821,0.200000,107136,162506,1161357,1296188
64,64,64,1249,1223,0.300000,159872,242434,1731804,1933964
64,64,64,1608,1630,0.400000,205824,312080,2243923,2489696
64,64,64,2090,2030,0.500000,267520,405588,2800335,3235832
64,64,64,2390,2442,0.600000,305920,463788,3138187,3700232
64,64,64,2856,2917,0.700000,365568,554192,4052009,4421600
64,64,64,3275,3304,0.800000,419200,635478,4614474,5070212
64,64,64,3658,3711,0.900000,468224,709780,5116683,5663096
64,64,64,4096,4096,1.000000,524288,794752,5394883,6341120
