row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,37,45,0.010000,1184,1882,13566,14780
16,16,256,71,80,0.020000,2272,3582,25166,28244
16,16,256,108,126,0.030000,3456,5432,37836,42896
16,16,256,149,171,0.040000,4768,7482,58872,59132
16,16,256,203,200,0.050000,6496,10182,76772,80516
16,16,256,264,231,0.060000,8448,13232,105783,104672
16,16,256,269,256,0.070000,8608,13482,92929,106652
16,16,256,317,324,0.080000,10144,15882,131538,125660
16,16,256,387,367,0.090000,12384,19382,133231,153380
16,16,256,410,418,0.100000,13120,20532,150468,162488
16,16,256,778,801,0.200000,24896,38932,292430,308216
16,16,256,1218,1256,0.300000,38976,60932,417361,482456
16,16,256,1649,1659,0.400000,52768,82482,594252,653132
16,16,256,2067,2018,0.500000,66144,103382,772080,818660
16,16,256,2448,2451,0.600000,78336,122432,837924,969536
16,16,256,2890,2872,0.700000,92480,144532,990303,1144568
16,16,256,3284,3261,0.800000,105088,164232,1189869,1300592
16,16,256,3699,3662,0.900000,118368,184982,1265301,1464932
