row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,37,45,0.010000,1184,2362,17364,16700
16,16,256,71,80,0.020000,2272,4062,29379,30164
16,16,256,108,126,0.030000,3456,5912,45857,44816
16,16,256,149,171,0.040000,4768,7962,59233,61052
16,16,256,203,200,0.050000,6496,10662,85428,82436
16,16,256,264,231,0.060000,8448,13712,110670,106592
16,16,256,269,256,0.070000,8608,13962,112231,108572
16,16,256,317,324,0.080000,10144,16362,116175,127580
16,16,256,387,367,0.090000,12384,19862,157297,155300
16,16,256,410,418,0.100000,13120,21012,148715,164408
16,16,256,778,801,0.200000,24896,39412,274861,310136
16,16,256,1218,1256,0.300000,38976,61412,425619,484376
16,16,256,1649,1659,0.400000,52768,82962,599376,655052
16,16,256,2067,2018,0.500000,66144,103862,716558,820580
16,16,256,2448,2451,0.600000,78336,122912,921899,971456
16,16,256,2890,2872,0.700000,92480,145012,1015211,1146488
16,16,256,3284,3261,0.800000,105088,164712,1148378,1302512
16,16,256,3699,3662,0.900000,118368,185462,1391347,1466852
