row_count,col_count,inner_count,left_non_zero_count,right_non_zero_count,density,flops,memops,time,bytes
16,16,256,37,45,0.010000,12,236,2346,1196
16,16,256,71,80,0.020000,52,456,4086,2456
16,16,256,108,126,0.030000,114,764,6594,4244
16,16,256,149,171,0.040000,210,1136,10355,6488
16,16,256,203,200,0.050000,272,1376,12453,7936
16,16,256,264,231,0.060000,442,1840,16825,10936
16,16,256,269,256,0.070000,526,2108,17763,12612
16,16,256,317,324,0.080000,872,3072,28571,18816
16,16,256,387,367,0.090000,1150,3800,32704,23568
16,16,256,410,418,0.100000,1256,4216,36383,26072
16,16,256,778,801,0.200000,4774,12784,119518,82984
16,16,256,1218,1256,0.300000,11970,28996,264134,192828
16,16,256,1649,1659,0.400000,21542,49752,412721,334896
16,16,256,2067,2018,0.500000,32356,72816,642035,493472
16,16,256,2448,2451,0.600000,47066,103968,920157,708072
16,16,256,2890,2872,0.700000,64886,141292,1217553,965972
16,16,256,3284,3261,0.800000,83738,180552,1538690,1237680
16,16,256,3699,3662,0.900000,105760,226200,1786330,1554008
